Dialogue_ID,Topic,Text,Acts,Emotions
5,Ordinary Life,"[{""role"": ""user"", ""content"": ""Isn ’ t he the best instructor ? I think he ’ s so hot . Wow ! I really feel energized , don ’ t you ?""}, {""role"": ""assistant"", ""content"": ""I swear , I ’ m going to kill you for this .""}, {""role"": ""user"", ""content"": ""What ’ s wrong ? Didn ’ t you think it was fun ? !""}, {""role"": ""assistant"", ""content"": ""Oh , yeah ! I had a blast ! I love sweating like a pig with a bunch of pot bellies who all smell bad . Sorry , I ’ m just not into this health kick .""}, {""role"": ""user"", ""content"": ""Oh , no , get off it . It wasn ’ t such a killer class . You just have to get into it . Like they say , no pain , no gain .""}, {""role"": ""assistant"", ""content"": ""I am wiped out . Thank you .""}, {""role"": ""user"", ""content"": ""Look , next time get yourself some comfy shoes . You ’ re gonna come back again with me , aren ’ t you ?""}, {""role"": ""assistant"", ""content"": ""Never ! But thank you for inviting me .""}, {""role"": ""user"", ""content"": ""Come on . You ’ ll feel better after we hit the showers .""}]","question, inform, question, inform, directive, commissive, directive, commissive, directive","happiness, disgust, surprise, disgust, no emotion, no emotion, no emotion, no emotion, no emotion"
7,Ordinary Life,"[{""role"": ""user"", ""content"": ""Can you manage chopsticks ?""}, {""role"": ""assistant"", ""content"": ""Why not ? See .""}, {""role"": ""user"", ""content"": ""Good mastery . How do you like our Chinese food ?""}, {""role"": ""assistant"", ""content"": ""Oh , great ! It's delicious . You see , I am already putting on weight . There is one thing I don't like however , MSG .""}, {""role"": ""user"", ""content"": ""What's wrong with MSG ? It helps to bring out the taste of the food .""}, {""role"": ""assistant"", ""content"": ""According to some studies it may cause cancer .""}, {""role"": ""user"", ""content"": ""Oh , don't let that worry you . If that were true , China wouldn't have such a large population .""}, {""role"": ""assistant"", ""content"": ""I just happen to have a question for you guys . Why do the Chinese cook the vegetables ? You see what I mean is that most vitamin are destroyed when heated .""}, {""role"": ""user"", ""content"": ""I don't know exactly . It's a tradition . Maybe it's for sanitary reasons .""}]","question, inform, question, inform, question, inform, inform, question, inform","no emotion, no emotion, happiness, happiness, surprise, no emotion, no emotion, no emotion, no emotion"
15,Ordinary Life,"[{""role"": ""user"", ""content"": ""Is everything to your satisfaction ?""}, {""role"": ""assistant"", ""content"": ""No , the steak was recommended , but it is not very fresh .""}, {""role"": ""user"", ""content"": ""Oh ! Sorry to hear that . This is quite unusual as we have steak from the market every day .""}, {""role"": ""assistant"", ""content"": ""So what ? It is not fresh and I'm not happy about it .""}, {""role"": ""user"", ""content"": ""I'm sorry , sir . Do you wish to try something else ? That would be on the house , of course .""}, {""role"": ""assistant"", ""content"": ""No , thank you .""}]","question, inform, inform, inform, directive, commissive","no emotion, anger, sadness, anger, sadness, anger"
16,Ordinary Life,"[{""role"": ""user"", ""content"": ""I'm looking for a white purse as a gift . Could you show what you have in stock ?""}, {""role"": ""assistant"", ""content"": ""You are in luck . We just receive a shipment of several different styles of white purses .""}, {""role"": ""user"", ""content"": ""They must be popular again this season .""}, {""role"": ""assistant"", ""content"": ""Yes , I believe they are . Here are something that might interest you .""}, {""role"": ""user"", ""content"": ""Wow . this is nice . I'll take this one . I guess if she doesn't like it she can return it , right ?""}, {""role"": ""assistant"", ""content"": ""Sure . Let me ring this up for you at the register . If you would like , this can be gift-wrapped for free . Just take it to the customer service department .""}]","question, inform, inform, directive, question, inform","no emotion, happiness, happiness, happiness, happiness, no emotion"
23,Ordinary Life,"[{""role"": ""user"", ""content"": ""I'm looking for some blush . Do you still have some in peach rose ?""}, {""role"": ""assistant"", ""content"": ""Oh , yes , that is a beautiful color . It has been very popular blush this season . I have two left .""}, {""role"": ""user"", ""content"": ""Great , I'll take one .""}, {""role"": ""assistant"", ""content"": ""Have you heard about our special promotion this month ? If you purchase at least 18 dollar 50 cents in any Elizabeth Arden products , you will receive this black poke with a sample of lipstick , mascara and two shades of white shadow .""}, {""role"": ""user"", ""content"": ""Wow , that sounds like a bargain . I'm running low on facial moisturizer and toner . Could you ring those up for me too along with the blush ?""}, {""role"": ""assistant"", ""content"": ""I'd be glad to . Do you need anything else ?""}, {""role"": ""user"", ""content"": ""Oh , I almost forgot . It's my mum's birthday Saturday . I need to get her some more Chanel . Could you get me the 1.7 ounce bottle of Chanel cologne ?""}, {""role"": ""assistant"", ""content"": ""That would be my pleasure . I'll wrap the perfume up in the gift box for you too .""}]","question, inform, inform, question, inform, question, directive, commissive","no emotion, no emotion, happiness, no emotion, happiness, no emotion, no emotion, happiness"
33,Ordinary Life,"[{""role"": ""user"", ""content"": ""Can I have the check please ?""}, {""role"": ""assistant"", ""content"": ""Right away , sir .""}, {""role"": ""user"", ""content"": ""Is this amount correct ?""}, {""role"": ""assistant"", ""content"": ""Yes , sir , it is .""}, {""role"": ""user"", ""content"": ""Thank you , the service was good""}, {""role"": ""assistant"", ""content"": ""Please come again .""}]","directive, commissive, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, happiness, happiness"
34,Ordinary Life,"[{""role"": ""user"", ""content"": ""Are you through with your meal ?""}, {""role"": ""assistant"", ""content"": ""Yes , we are . Could we have the check please ?""}, {""role"": ""user"", ""content"": ""Here you go . I can take care of it here when you are already .""}, {""role"": ""assistant"", ""content"": ""Do you accept checks ?""}, {""role"": ""user"", ""content"": ""No , I'm sorry we don't . We accept credit cards and cash .""}, {""role"": ""assistant"", ""content"": ""Well , I don't have any cash with me , I'll have to put it on a credit .""}, {""role"": ""user"", ""content"": ""Thank you , I'll be right back . Do you need any to go boxes ? I'd be glad to bring you some when I come back .""}, {""role"": ""assistant"", ""content"": ""Yes , we do , thank you .""}]","question, directive, commissive, question, inform, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
36,Ordinary Life,"[{""role"": ""user"", ""content"": ""Are you OK ?""}, {""role"": ""assistant"", ""content"": ""I'm fine . I'm just so touched by the sad story .""}, {""role"": ""user"", ""content"": ""So I can say now that you must have enjoyed the opera . Which scene is your favorite ?""}, {""role"": ""assistant"", ""content"": ""I love them all . But if I had to name one as the best , I would say it's the ending .""}, {""role"": ""user"", ""content"": ""What's it about ? You know , I couldn't help falling asleep .""}, {""role"": ""assistant"", ""content"": ""Did you ? I didn't notice that . But still you should know it , for you have seen it with Laura before .""}, {""role"": ""user"", ""content"": ""I guess I've done the same thing last time I was here with her , too . I mean falling asleep . For me , this one is not that attractive .""}, {""role"": ""assistant"", ""content"": ""Then I doubt if you like operas at all .""}, {""role"": ""user"", ""content"": ""Yes . I like Carmen very much . But I don't mind if you want to tell me about this one .""}, {""role"": ""assistant"", ""content"": ""OK , then . The man was old and he was visiting his wife's grave , with a rose in his hand . When he got there , he saw someone already put a rose on her grave .""}, {""role"": ""user"", ""content"": ""Very impressive . And I do like the leading actress who has an amazing voice .""}, {""role"": ""assistant"", ""content"": ""Me , too . There was always a good round of applause every time she sings .""}, {""role"": ""user"", ""content"": ""Yes , the applause ! That was what kept waking me up during the show .""}, {""role"": ""assistant"", ""content"": ""And it's been such a faultless performance with the perfect lighting , and music . Just amazing !""}, {""role"": ""user"", ""content"": ""No doubt , it's not a simple thing to put on a ' phantom show ' .""}, {""role"": ""assistant"", ""content"": ""Exactly .""}]","question, inform, question, inform, question, inform, inform, inform, directive, commissive, inform, inform, inform, inform, inform, inform","no emotion, sadness, no emotion, no emotion, no emotion, surprise, no emotion, no emotion, no emotion, no emotion, happiness, happiness, happiness, happiness, happiness, happiness"
41,Ordinary Life,"[{""role"": ""user"", ""content"": ""May I help you ?""}, {""role"": ""assistant"", ""content"": ""Give me six-piece chicken nuggets , a large fries , and a large coke .""}, {""role"": ""user"", ""content"": ""You will need to wait a few minutes for fries . They're still in the fryer .""}, {""role"": ""assistant"", ""content"": ""That's fine .""}, {""role"": ""user"", ""content"": ""Your total comes to 7 dollars .""}, {""role"": ""assistant"", ""content"": ""Here's 20 .""}, {""role"": ""user"", ""content"": ""Thank you . Your cash back is 13 dollars . Pull into a parking states , and we'll bring you your fries in two minutes .""}, {""role"": ""assistant"", ""content"": ""Thanks .""}]","question, directive, commissive, inform, inform, inform, directive, commissive","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
48,Ordinary Life,"[{""role"": ""user"", ""content"": ""I played the video game at Mike's home yesterday .""}, {""role"": ""assistant"", ""content"": ""What's it like ?""}, {""role"": ""user"", ""content"": ""It's really fantastic . The hero , Super Warrior , is so brave that he can defeat any enemies he meets . He runs through tunnels , swims under water , and climbs over bridges . It's really exciting !""}, {""role"": ""assistant"", ""content"": ""And then ?""}, {""role"": ""user"", ""content"": ""I borrowed it from Mike yesterday . Why not have a try ?""}, {""role"": ""assistant"", ""content"": ""That's neat !""}]","inform, question, inform, question, directive, commissive","no emotion, no emotion, happiness, no emotion, no emotion, happiness"
