Dialogue_ID,Topic,Text,Acts,Emotions
5,Ordinary Life,"Isn ’ t he the best instructor ? I think he ’ s so hot . Wow ! I really feel energized , don ’ t you ? __eou__ I swear , I ’ m going to kill you for this . __eou__ What ’ s wrong ? Didn ’ t you think it was fun ? ! __eou__ Oh , yeah ! I had a blast ! I love sweating like a pig with a bunch of pot bellies who all smell bad . Sorry , I ’ m just not into this health kick . __eou__ Oh , no , get off it . It wasn ’ t such a killer class . You just have to get into it . Like they say , no pain , no gain . __eou__ I am wiped out . Thank you . __eou__ Look , next time get yourself some comfy shoes . You ’ re gonna come back again with me , aren ’ t you ? __eou__ Never ! But thank you for inviting me . __eou__ Come on . You ’ ll feel better after we hit the showers . __eou__","question, inform, question, inform, directive, commissive, directive, commissive, directive","happiness, disgust, surprise, disgust, no emotion, no emotion, no emotion, no emotion, no emotion"
7,Ordinary Life,"Can you manage chopsticks ? __eou__ Why not ? See . __eou__ Good mastery . How do you like our Chinese food ? __eou__ Oh , great ! It's delicious . You see , I am already putting on weight . There is one thing I don't like however , MSG . __eou__ What's wrong with MSG ? It helps to bring out the taste of the food . __eou__ According to some studies it may cause cancer . __eou__ Oh , don't let that worry you . If that were true , China wouldn't have such a large population . __eou__ I just happen to have a question for you guys . Why do the Chinese cook the vegetables ? You see what I mean is that most vitamin are destroyed when heated . __eou__ I don't know exactly . It's a tradition . Maybe it's for sanitary reasons . __eou__","question, inform, question, inform, question, inform, inform, question, inform","no emotion, no emotion, happiness, happiness, surprise, no emotion, no emotion, no emotion, no emotion"
15,Ordinary Life,"Is everything to your satisfaction ? __eou__ No , the steak was recommended , but it is not very fresh . __eou__ Oh ! Sorry to hear that . This is quite unusual as we have steak from the market every day . __eou__ So what ? It is not fresh and I'm not happy about it . __eou__ I'm sorry , sir . Do you wish to try something else ? That would be on the house , of course . __eou__ No , thank you . __eou__","question, inform, inform, inform, directive, commissive","no emotion, anger, sadness, anger, sadness, anger"
16,Ordinary Life,"I'm looking for a white purse as a gift . Could you show what you have in stock ? __eou__ You are in luck . We just receive a shipment of several different styles of white purses . __eou__ They must be popular again this season . __eou__ Yes , I believe they are . Here are something that might interest you . __eou__ Wow . this is nice . I'll take this one . I guess if she doesn't like it she can return it , right ? __eou__ Sure . Let me ring this up for you at the register . If you would like , this can be gift-wrapped for free . Just take it to the customer service department . __eou__","question, inform, inform, directive, question, inform","no emotion, happiness, happiness, happiness, happiness, no emotion"
23,Ordinary Life,"I'm looking for some blush . Do you still have some in peach rose ? __eou__ Oh , yes , that is a beautiful color . It has been very popular blush this season . I have two left . __eou__ Great , I'll take one . __eou__ Have you heard about our special promotion this month ? If you purchase at least 18 dollar 50 cents in any Elizabeth Arden products , you will receive this black poke with a sample of lipstick , mascara and two shades of white shadow . __eou__ Wow , that sounds like a bargain . I'm running low on facial moisturizer and toner . Could you ring those up for me too along with the blush ? __eou__ I'd be glad to . Do you need anything else ? __eou__ Oh , I almost forgot . It's my mum's birthday Saturday . I need to get her some more Chanel . Could you get me the 1.7 ounce bottle of Chanel cologne ? __eou__ That would be my pleasure . I'll wrap the perfume up in the gift box for you too . __eou__","question, inform, inform, question, inform, question, directive, commissive","no emotion, no emotion, happiness, no emotion, happiness, no emotion, no emotion, happiness"
33,Ordinary Life,"Can I have the check please ? __eou__ Right away , sir . __eou__ Is this amount correct ? __eou__ Yes , sir , it is . __eou__ Thank you , the service was good __eou__ Please come again . __eou__","directive, commissive, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, happiness, happiness"
34,Ordinary Life,"Are you through with your meal ? __eou__ Yes , we are . Could we have the check please ? __eou__ Here you go . I can take care of it here when you are already . __eou__ Do you accept checks ? __eou__ No , I'm sorry we don't . We accept credit cards and cash . __eou__ Well , I don't have any cash with me , I'll have to put it on a credit . __eou__ Thank you , I'll be right back . Do you need any to go boxes ? I'd be glad to bring you some when I come back . __eou__ Yes , we do , thank you . __eou__","question, directive, commissive, question, inform, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
36,Ordinary Life,"Are you OK ? __eou__ I'm fine . I'm just so touched by the sad story . __eou__ So I can say now that you must have enjoyed the opera . Which scene is your favorite ? __eou__ I love them all . But if I had to name one as the best , I would say it's the ending . __eou__ What's it about ? You know , I couldn't help falling asleep . __eou__ Did you ? I didn't notice that . But still you should know it , for you have seen it with Laura before . __eou__ I guess I've done the same thing last time I was here with her , too . I mean falling asleep . For me , this one is not that attractive . __eou__ Then I doubt if you like operas at all . __eou__ Yes . I like Carmen very much . But I don't mind if you want to tell me about this one . __eou__ OK , then . The man was old and he was visiting his wife's grave , with a rose in his hand . When he got there , he saw someone already put a rose on her grave . __eou__ Very impressive . And I do like the leading actress who has an amazing voice . __eou__ Me , too . There was always a good round of applause every time she sings . __eou__ Yes , the applause ! That was what kept waking me up during the show . __eou__ And it's been such a faultless performance with the perfect lighting , and music . Just amazing ! __eou__ No doubt , it's not a simple thing to put on a ' phantom show ' . __eou__ Exactly . __eou__","question, inform, question, inform, question, inform, inform, inform, directive, commissive, inform, inform, inform, inform, inform, inform","no emotion, sadness, no emotion, no emotion, no emotion, surprise, no emotion, no emotion, no emotion, no emotion, happiness, happiness, happiness, happiness, happiness, happiness"
41,Ordinary Life,"May I help you ? __eou__ Give me six-piece chicken nuggets , a large fries , and a large coke . __eou__ You will need to wait a few minutes for fries . They're still in the fryer . __eou__ That's fine . __eou__ Your total comes to 7 dollars . __eou__ Here's 20 . __eou__ Thank you . Your cash back is 13 dollars . Pull into a parking states , and we'll bring you your fries in two minutes . __eou__ Thanks . __eou__","question, directive, commissive, inform, inform, inform, directive, commissive","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
48,Ordinary Life,"I played the video game at Mike's home yesterday . __eou__ What's it like ? __eou__ It's really fantastic . The hero , Super Warrior , is so brave that he can defeat any enemies he meets . He runs through tunnels , swims under water , and climbs over bridges . It's really exciting ! __eou__ And then ? __eou__ I borrowed it from Mike yesterday . Why not have a try ? __eou__ That's neat ! __eou__","inform, question, inform, question, directive, commissive","no emotion, no emotion, happiness, no emotion, no emotion, happiness"
67,Ordinary Life,Taxi ! __eou__ Where would you like to go ? __eou__ Please rush me to the railway station __eou__ Get in and close the door . __eou__ Can you speed up a bit ? __eou__ Sorry . The road is too crowded . __eou__ But I have no time to lose . __eou__ But I can't help it . __eou__ Can you drop me off here ? __eou__ Sorry . We mustn't stop here . __eou__,"directive, question, directive, commissive, directive, commissive, inform, inform, directive, commissive","no emotion, no emotion, no emotion, no emotion, no emotion, sadness, no emotion, no emotion, no emotion, sadness"
95,Ordinary Life,"Jessie , I ’ m afraid I can ’ t come back home for dinner tonight . __eou__ Not back home for dinner again ? That ’ s the third time this week ! __eou__ I ’ m sorry . Our company has just opened . There are always too many things to handle . You know that . __eou__ You don ’ t have to explain . Suit yourself . __eou__ I apologize . You have my word , I ’ ll spend some time with you on the weekend . I promise . __eou__ We ’ ll see . __eou__ Thank you for understanding . I promise I ’ ll make it up to you . __eou__","inform, inform, inform, inform, inform, inform, inform","no emotion, anger, sadness, no emotion, no emotion, no emotion, happiness"
97,Ordinary Life,"Sam , you ’ Ve got to forgive me . __eou__ Forgive you for what ? __eou__ I used your computer . And I ’ m afraid I ’ Ve erased your personal files accidentally . __eou__ No ! Are you kidding me ? __eou__ I ’ m afraid not . I apologize . __eou__ I can ’ t believe it ! I have all my important personal documents stored in that computer . It ’ s no laughing matter . __eou__ I told you I ’ m sorry . What can I do to make it up to you ? __eou__ Well , you should be sorry ! Don ’ t ever use my computer again ! You can ’ t do anything now , it ’ s too late ! __eou__","directive, question, inform, question, inform, inform, question, inform","no emotion, no emotion, no emotion, surprise, sadness, anger, sadness, anger"
99,Ordinary Life,"Jim , could you do me a favor ? __eou__ Sure , just ask . What can I do for you ? __eou__ My car has a problem starting . Could you please take a look at it for me ? __eou__ No sweat . It ’ s a piece of cake . __eou__ Are you sure ? __eou__ Absolutely . I ’ m a great mechanic . __eou__ Thanks for helping me out . I really appreciate it . __eou__ Anytime . __eou__","directive, question, directive, commissive, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
130,Ordinary Life,"I am a student in Cambridge University . I read your ad , I want to know something more about your room , please ? __eou__ It's a big bedroom with a drawing room , facing a beautiful wood . __eou__ Is there a bathroom ? __eou__ No , but there is one downstairs , which my daughter used some years ago . __eou__ It sounds good . Could I go and see it myself ? __eou__ Certainly , you're welcome anytime . __eou__ See you later ! __eou__ ( after a while ) Good afternoon , Mrs . Smith . I called you just now . __eou__ Welcome ! Come in , please ! __eou__ Yes . __eou__ This way please . Your room is upstairs ... Here it is . __eou__ Wonderful ! A modest , comfortable room . Ah , a beautiful window , through which I can see a beautiful scene , and hear the birds singing . How nice ! __eou__ Yes , if you want to wash something , there is a separate lavatory room outside . __eou__ Excellent ! I like it ! When can I move in ? __eou__ Anytime you like . __eou__ OK . __eou__","directive, commissive, question, inform, directive, commissive, inform, inform, directive, commissive, directive, commissive, inform, question, inform, inform","no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, happiness, no emotion, happiness, no emotion, happiness"
150,Ordinary Life,"Hello . Excuse me . Do you know if there's a Commercial Bank around here ? __eou__ Yes , go straight along Beijing Road and turn right . __eou__ Straight on , and turn right . Is it far ? __eou__ No , it's just a couple of minutes . __eou__ Thanks very much . __eou__ You're welcome . __eou__","question, inform, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, happiness, happiness"
167,Ordinary Life,"Taxi ! __eou__ Yes , sir . Where to ? __eou__ Wangfujing , please ! __eou__ All right . __eou__ Oh , I like the music on your radio . It's nice . __eou__ Thank you ! I always tune to this program when driving . So what's your favorite program ? __eou__ I like Winner's English very mush . You know the Beijing Olympic Games is right around the corner . We should learn English Well . It's on FM 96.6 , China Business Radio . You can get it on your radio too . __eou__ But I don't speak English at all . __eou__ That's OK . The program is especially for the beginners like us . __eou__ Really ? When is it on ? __eou__ It begins at 6:40 every morning , and it goes for 20 minutes . __eou__ Thank you so much . I'll try and catch that . __eou__ The radio has brought us lots of convenience . __eou__ Yes , I can also learn about the traffic condition through it . __eou__ With the development of the society and technology , radio is nearly everywhere . __eou__ So we should take the advantage of it . __eou__","directive, question, directive, commissive, inform, question, inform, inform, inform, question, inform, inform, inform, inform, inform, directive","no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, no emotion, no emotion, no emotion, no emotion"
174,Ordinary Life,"It's so boring . __eou__ Don't you like it ? __eou__ I don't . Is there anything worth watching on the other channel ? __eou__ I think it's a basketball match on channel 5 . __eou__ Do you mind if we switch over ? __eou__ Well , I'd rather see a movie . __eou__ What's the movie ? __eou__ ' Star war ' . __eou__ It must be interesting . __eou__ Yes , you're right . __eou__","inform, question, question, inform, directive, commissive, question, inform, inform, inform","no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, no emotion, happiness, happiness"
